"All","Tất Cả"
"Please select review(s).","Vui lòng chọn đánh giá."Review
"A total of %1 record(s) have been deleted.","Tổng cộng %1 bản ghi (s) đã bị xóa."Review
"Something went wrong while deleting these records.","Một cái gì đó đã đi sai trong khi xóa các bản ghi này."Review
"You don’t have permission to perform this operation. Selected reviews must be in Pending Status only.","You don’t have permission to perform this operation. Selected reviews must be in Pending Status only."Review
"A total of %1 record(s) have been updated.","Tổng cộng %1 bản ghi (s) đã được cập nhật."Review
"Something went wrong while updating these review(s).","Một cái gì đó đã đi sai trong khi cập nhật các đánh giá."Review
"You saved the review.","Bạn đã lưu các bài đánh giá."Review
"Something went wrong while saving this review.","Một cái gì đó đã đi sai trong khi lưu nhận xét này."Review
"The review was removed by another user or does not exist.","Các đánh giá được gỡ bỏ bởi người dùng khác hoặc không tồn tại."Review
"You deleted the rating.","Bạn đã xoá các xếp hạng."Review
"Ratings","Xếp hạng"Review
"You saved the rating.","Bạn đã lưu các xếp hạng."Review
"My Product Reviews","Đánh giá sản phẩm của tôi"Review
"You submitted your review for moderation.","Bạn đã gửi nhận xét của bạn để kiểm duyệt."Review
"We can't post your review right now.","Chúng tôi không thể đăng bài nhận xét của bạn ngay bây giờ."Review
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."Review
"Approved","ĐÃ ĐƯỢC CHẤP NHẬN"
"Pending","Đang Chờ"Review
"Not Approved","Không được chấp thuận"
"Please enter a review summary.","Vui lòng nhập một đánh giá sơ lược."Review
"Please enter a nickname.","Vui lòng nhập biệt hiệu."Review
"Please enter a review.","Vui lòng nhập một nhận xét."Review
"Rating isn't Available","Đánh giá không có sẵn"Review
"Please specify a rating title for a store, or we'll just use the default value.","Vui lòng xác định một tiêu đề đánh giá cho một cửa hàng, hoặc chúng tôi sẽ chỉ sử dụng giá trị mặc định."Review
"Assigned Options","Được chỉ định tùy chọn"Review
"Option Title:","Tiêu đề tùy chọn:"Review
"Product Name","Tên sản phẩm"Review
"Rating","Xếp hạng"Review
"Actions","Thao tác"Review
"See Details","Xem chi tiết"Review
"You have submitted no reviews.","Bạn đã gửi đánh giá."Review
"Back","Trở lại"Review
"My Recent Reviews","Đánh giá gần đây của tôi"Review
"View All","Xem tất cả"Review
"Average Customer Rating:","Trung bình khách hàng đánh giá:"Review
"Your Review","Nhận xét của bạn"Review
"Submitted on %1","Gửi ngày %1"Review
"Back to My Reviews","Quay lại đánh giá của tôi"Review
"Ratings Review Summary","Bản tóm tắt bài đánh giá xếp hạng"Review
"Be the first to review this product","Là người đầu tiên để xem xét sản phẩm này"Review
"Write Your Own Review","Viết nhận xét của riêng bạn"Review
"* Required Fields","* các thông tin bắt buộc"
"You're reviewing:","Bạn đang đánh giá:"Review
"Your Rating","Xếp hạng của bạn"Review
"%1 %2","%1 %2"Review
"Summary","Tóm tắt"Review
"Submit Review","Gửi đánh giá"Review
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Chỉ người dùng đã đăng ký có thể viết đánh giá. Vui lòng <a href=""%1""> đăng nhập</a> hoặc <a href=""%2""> tạo tài khoản</a>"Review
"Add Your Review","Thêm nhận xét của bạn"Review
"%1 Review(s)","%1 đánh giá"Review
"Review by","đánh giá bởi"Review
"Posted on","Được đăng trên"Review
"Back to Main Product Info","Quay lại thông tin sản phẩm chính"Review
"Average Customer Rating","Trung bình khách hàng đánh giá"Review
"Product Rating:","Xếp hạng sản phẩm:"Review
"Product Review (submitted on %1):","Đánh giá sản phẩm (đã gửi trên %1):"Review
"Back to Product Reviews","Quay lại đánh giá sản phẩm"Review
"Please select one of each of the ratings above.","Please select one of each of the ratings above."Review
"By Customers","Bởi khách hàng"Review
"By Products","Bởi sản phẩm"Review
"Enabled","Enabled"Review
"Allow Guests to Write Reviews","Cho phép khách viết đánh giá"Review
"Active","Kích hoạt"Review
"Inactive","Không hoạt động"Review
"ID","ID"Review
"Created","Đã tạo"Review
"Status","Trạng thái"Review
"Title","Tiêu đề"Review
"Nickname","Biệt danh"Review
"Review","Đánh giá"Review
"Visibility","Hiển thị"Review
"Type","Loại"Review
"Product","Sản phẩm"Review
"SKU","Mã sản phẩm (SKU)"
"Reward Points","Điểm thưởng"
"Reward Points History","Lịch sử điểm Phần thưởng"
"Expired reward","Phần thưởng đã hết hạn"
"Unlimited","Không giới hạn"Reward
"No Data","Không có dữ liệu"Reward
"Website","Trang web"Reward
"","Số dư"Reward
"Currency Amount","Số tiền"Reward
"Reward Points Threshold","Ngưỡng điểm thưởng"Reward
"Reward Points Cap","Số mũ Điểm thưởng"Reward
"Are you sure you want to delete these points?","Are you sure you want to delete these points?"Reward
"Delete Orphan Points","Xóa điểm lẻ"Reward
"Update Reward Points ","Cập nhật số dư điểm thưởng"Reward
"","Cửa hàng"Reward
"Update Points","Cập Nhật điểm"Reward
"Enter a negative number to subtract from the balance.","Nhập một số âm để trừ từ số dư."Reward
"Comment","Bình luận"Reward
"Reward Points Notifications","Thông báo điểm thưởng"Reward
"Subscribe for  Updates","Đăng ký để cập nhật số dư"Reward
"Subscribe for Points Expiration Notifications","Đăng ký đển nhận thông báo các điểm hết hạn"Reward
"Reward Exchange Rates","Tỷ giá chuyển đổi điểm thưởng"Reward
"Add New Rate","Thêm mới các tỷ giá"Reward
"Edit Reward Exchange Rate","Chỉnh sửa tỷ lệ chuyển đổi phần thưởng"Reward
"New Reward Exchange Rate","Tỷ lệ chuyển đổi phần thưởng mới"Reward
"Reward Exchange Rate Information","Thông tin tỷ lệ trao đổi Phần thưởng"Reward
"Customer Group","Nhóm khách hàng"Reward
"Direction","Hướng"Reward
"Rate","Đánh giá"Reward
"Use your reward points; %1 are available.","Sử dụng điểm thưởng của tôi; %1 có sẵn."Reward
"Learn more","Tìm hiểu thêm"Reward
"This applies only to registered users and may vary when a user is logged in.","Điều này chỉ áp dụng cho người dùng đăng ký và có thể thay đổi khi người dùng đăng nhập."Reward
"You removed the orphan points.","Bạn loại bỏ các điểm bị bỏ rơi."Reward
"Customers","Khách hàng"Reward
"Manage Reward Exchange Rates","Quản lý các tỷ giá trao đổi phần thưởng"Reward
"You deleted the rate.","Bạn đã xoá các tỷ lệ."Reward
"You saved the rate.","Bạn đã lưu các tỷ lệ."Reward
"We can't save this rate right now.","Chúng tôi không thể lưu tỷ lệ này ngay bây giờ."Reward
"Please enter all rate information.","Vui lòng nhập tất cả các thông tin tỷ lệ."Reward
"Please enter a positive integer number in the left rate field.","Vui lòng nhập số nguyên dương trong trường tỷ lệ bên trái."Reward
"Please enter a positive number in the right-side rate field.","Vui lòng nhập một số dương trong trường tỷ lệ bên phải."Reward
"Please enter a positive integer number in the right-side rate field.","Vui lòng nhập số nguyên dương trong trường tỷ lệ bên phải."Reward
"Please enter a positive number in the left-side rate field.","Vui lòng nhập một số dương trong trường tỷ lệ bên trái."Reward
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Xin lỗi, nhưng một tỷ lệ trên cùng một trang web, nhóm khách hàng và hướng hoặc tỷ lệ che phủ đã tồn tại."Reward
"Page not found.","Không tìm thấy trang."Reward
"You saved the settings.","Bạn lưu lại các thiết lập."Reward
"You unsubscribed.","Bạn đã bỏ đăng ký theo dõi."Reward
"You can't unsubscribed right now.","Bạn không thể hủy đăng ký ngay bây giờ."Reward
"%1 Reward points (%2)","Điểm thưởng %1 (%2)"Reward
"%1 Reward points","Điểm thưởng %1"Reward
"Updated by moderator","Cập Nhật bởi người điều hành"Reward
"Refunded from order #%1","Hoàn trả từ đơn đặt hàng #%1"Reward
"Points voided at order #%1 refund.","Điểm bị để trống lúc đặt hàng #%1 hoàn trả."Reward
"The invitation to %1 converted into a customer.","Lời mời đến %1 chuyển đổi thành một khách hàng."Reward
"The invitation to %1 converted into an order.","Lời mời đến %1 chuyển đổi thành một đơn đặt hàng."Reward
"Signed up for newsletter with email %1","Đăng ký nhận bản tin với email %1"Reward
"Redeemed for order #%1","Chuộc cho đơn đặt hàng #%1"Reward
"Earned points for order #%1","Kiếm được điểm cho đơn hàng #%1"Reward
"Reverted from incomplete order #%1","Trở lại từ đơn đặt hàng không đầy đủ #%1"Reward
"Registered as customer","Đăng ký là khách hàng"Reward
"For submitting a product review","Để gửi một đánh giá sản phẩm"Reward
"Earned promotion extra points from order #%1","Kiếm được điểm khuyến mãi từ đơn đặt hàng #%1"Reward
"%1 store reward points available (%2)","%1 cửa hàng điểm thưởng có sẵn (%2)"Reward
"%1 store reward points available","%1 điểm thưởng có sẵn"Reward
"Sign in now and earn %1 for this order.","Sign in now and earn %1 for this order."Reward
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."Reward
"%1 was deducted because of refund.","%1 đã khấu trừ do hoàn lại tiền."Reward
"The action ID you enter must be a number.","Thao tác ID bạn nhập vào phải là số."Reward
"You don't have enough reward points to pay for this purchase.","Bạn không có đủ điểm thưởng để trả tiền cho việc mua hàng này."Reward
"Points to Currency","Điểm đến tiền tệ"Reward
"Currency to Points","Tiền tệ về điểm"Reward
"All Customer Groups","Tất cả các nhóm khách hàng"Reward
"Static","Tĩnh"Reward
"Dynamic","Năng động"Reward
"Each","Mỗi"Reward
"First","Đầu tiên"Reward
"All Websites","Tất cả trang Web"Reward
"The ""Minimum Reward Points "" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Minimum Reward Points "" is invalid. The balance needs to be a positive number or left empty. Verify and try again."Reward
"The ""Cap Reward Points "" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Cap Reward Points "" is invalid. The balance needs to be a positive number or left empty. Verify and try again."Reward
"The ""Minimum Reward Points "" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points "".","The ""Minimum Reward Points "" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points ""."Reward
"Customer earned promotion extra %1.","Khách hàng được khuyến mãi thêm %1."Reward
"The customer earned %1 for this order.","Khách hàng nhận được %1 cho đơn hàng này."Reward
"Reward points should be a valid integer number.","Reward points should be a valid integer number."Reward
"Reward Points ","Số dư điểm thưởng"Reward
"upper boundary","trên ranh giới"Reward
"Refund Reward Points","Hoàn lại điểm thưởng"Reward
"Reward Points refunded to customer","Điểm thưởng hoàn lại cho khách hàng"Reward
"Remove","Loại bỏ"Reward
"Back","Trở lại"Reward
" History","Lịch sử số dư"Reward
"Amount","Số lượng"Reward
"Points","Điểm"Reward
"Reason","Lý do"Reward
"Date","Ngày"Reward
"Expires on %1","Hết hạn ngày %1"Reward
"There is no balance history.","Không có lịch sử số dư."Reward
"Reward points balance Information","Thông tin số dư điểm thưởng"Reward
"Your balance is %1.","Số dư của bạn là %1."Reward
"Current exchange rates:","Tỷ giá chuyển đổi hiện tại:"Reward
"%1 = %2","%1 = %2"Reward
"%1 spent = %2 earned","%1 dùng = %2 kiếm được"Reward
"None","Không cái nào"Reward
" limit is %1.","Giới hạn số dư là %1."Reward
"Maximum balance is reached","Đạt được số dư tối đa"Reward
"Minimum  in order to redeem: %1.","Số dư tối thiểu để thanh toán: %1."Reward
"You need a higher balance to use your rewards points.","Bạn cần số dư cao hơn để sử dụng điểm thưởng của bạn."Reward
"Each earned reward points award expires in %1 days.","Mỗi điểm thưởng kiếm được hết hạn trong %1 ngày."Reward
"Refer to reward points history to see when a specific record expires.","Tham khảo lịch sử điểm thưởng để xem khi nào bản ghi cụ thể hết hạn."Reward
" Notification Settings","Cài đặt thông báo email"Reward
"Save Subscription Settings","Lưu thiết đặt đăng ký"Reward
"Reward Points  Updated at %store_name","Phần thưởng điểm cân bằng được Cập Nhật tại %store_name"Reward
"%name,","%name,"Reward
"You have %points_balance points that may be used in our store:","Bạn có %points_balance điểm mà có thể được sử dụng trong cửa hàng của chúng tôi:"Reward
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url""> hủy bỏ đăng ký</a> từ những thông báo này."Reward
"Reward Points Expiry Warning at %store_name","Phần thưởng điểm cảnh báo hết hạn tại %store_name"Reward
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","Có % remaining_days ngày còn lại để sử dụng %points_expiring của bạn điểm thưởng."Reward
"After %remaining_days day(s) these points will expire.","Những điểm này sẽ hết hạn sau % remaining_days ngày."Reward
"You have a total of %points_balance points that may be used in our store:","Bạn có tổng số điểm %points_balance có thể được sử dụng trong cửa hàng của chúng tôi:"Reward
"Reward points","Điểm thưởng"Reward
"Use reward points","Sử dụng điểm thưởng"Reward
"Your reward point was successfully applied","Điểm thưởng của bạn được áp dụng thành công"Reward
"Manage Reward Points s","Quản lý số dư điểm thưởng"Reward
"Can Spend Reward Points","Có thể chi tiêu điểm thưởng"Reward
"Enable Reward Points Functionality","Cho phép chức năng Điểm thưởng"Reward
"Enable Reward Points Functionality on front","Cho phép các chức năng Điểm thưởng trên front"Reward
"Customers May See Reward Points History","Khách có thể xem lịch sử điểm thưởng"Reward
"Rewards Points  Redemption Threshold","Ngưỡng cứu chuộc số dư điểm thưởng"Reward
"An empty value disables this limitation.","Một giá trị rỗng vô hiệu hoá hạn chế này."Reward
"Cap Reward Points  At","Mũ số dư Điểm thưởng tại"Reward
"Reward Points Expire in (days)","Phần thưởng điểm hết hạn (ngày)"Reward
"Reward Points Expiry Calculation","điểm thưởng tính toán hết hạn"Reward
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Tĩnh"" xác định ngày hết hạn chính xác là khi số dư tăng. ""Năng động"" không có ngày hết hạn, nhưng được tính khi số dư được kiểm tra nếu hết hạn."Reward
"Refund Reward Points Automatically","Tự động Hoàn lại điểm thưởng"Reward
"Deduct Reward Points from Refund Amount Automatically","Điểm thưởng từ số tiền hoàn trả khấu trừ tự động"Reward
"Landing Page","Trang đích"Reward
"Actions for Acquiring Reward Points by Customers","Các hành động để có được điểm thưởng của khách hàng"Reward
"Purchase","Mua hàng"Reward
"Added for spent money according to reward exchange rates.","Bổ sung đối với tiền đã qua sử dụng theo tỷ giá trao đổi phần thưởng."Reward
"Registration","Đăng ký"Reward
" Signup","Đăng ký nhận bản tin"Reward
"Only for customers who subscribe for the first time.","Chỉ dành cho những khách hàng đăng ký lần đầu tiên."Reward
"Converting  to Customer","Chuyển đổi các lời mời đến khách hàng"Reward
" to Customer Conversions Quantity Limit","Lời mời để giới hạn số lượng chuyển đổi khách hàng"Reward
"Converting  to Order","Chuyển đổi các lời mời để đặt hàng"Reward
" to Order Conversions Quantity Limit","Lời mời để giới hạn số lượng chuyển đổi đơn hàng"Reward
" Conversion to Order Reward","Thư mời chuyển đổi cho thưởng điểm từ đơn hàng"Reward
"Review Submission","Xem lại thông tin"Reward
"After approval by administrator.","Sau khi phê duyệt bởi người quản trị."Reward
"Rewarded Reviews Submission Quantity Limit","Giới hạn số lượng thưởng cho mỗi nhận xét được gửi"Reward
" Sender","Người gửi "Reward
"Subscribe Customers by Default","Đăng ký khách hàng theo mặc định"Reward
" Update ","Thư điện tử Cập Nhật số dư"Reward
"Reward Points Expiry Warning "," cảnh báo hết hạn điểm thưởng"Reward
"Expiry Warning Before (days)","Cảnh báo hết hạn trước khi (ngày)"Reward
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Nhập một giá trị lớn hơn cả thời gian hết hạn hoặc không có giá trị vô hiệu hóa thông báo cảnh báo."Reward
"Reward Points Rates","Tỷ giá điểm thưởng"Reward
"Amount ","Số tiền dư"Reward
"Created","Đã tạo"Reward
"Expires","Hết hạn"Reward
"ID","ID"Reward
"Add Reward Points","Thêm điểm thưởng"Reward
"Check out now and earn %1 for this order.","Thanh toán ngay bây giờ và có được %1 cho đơn hàng này."Reward
"Create an account on our site now and earn %1.","Tạo một tài khoản trên trang web của chúng tôi ngay bây giờ và kiếm được %1."Reward
"Subscribe to our newsletter now and earn %1.","Đăng ký nhận bản tin của chúng tôi và kiếm được %1."Reward
"Send this invitation now and earn %1 when your invitee signs up on our site.","Send this invitation now and earn %1 when your invitee signs up on our site."Reward
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."Reward
"Earn %1 for purchases your invitees make.","Earn %1 for purchases your invitees make."Reward
"You can reward up to %1 invitee purchase(s).","You can reward up to %1 invitee purchase(s)."Reward
"Submit a review now and earn %1 after the review is approved.","Gửi một đánh giá bây giờ và kiếm được %1 sau khi xem xét phê duyệt."Reward
"You can reward up to %1 new reviews(s).","Bạn có thể được thưởng cho đến %1 đánh giá mới."Reward
"Return","Trả hàng"
"Returns","Trả hàng"
"Create Returns","Tạo phiếu trả hàng""
"Select Items","Chọn sản phẩm""
"New Return Request","Yêu cầu trả hàng mới""
"Create New RMA for %1 in %2","Tạo mới RMA cho %1 trong %2""
"Create New RMA for %1","Tạo mới RMA cho %1""
"Create New RMA","Tạo mới RMA""
"Please Select Order","Vui lòng chọn đơn hàng""
"Order","Đơn hàng""
"Purchase Point","Mua điểm""
"Purchased","Đã mua""
"Customer First Name","Tên khách hàng""
"Customer Last Name","Họ khách hàng""
"Grand Total (Base)","Tổng (cơ sở)""
"Grand Total (Purchased)","Tổng (đã mua)""
"Status","Trạng thái""
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa""
"Close","Đóng lại""
"Are you sure you want to close this returns request?","Bạn chắc chắn muốn đóng yêu cầu trả hàng này?""
"Print","In""
"Return #%1 - %2","Trả hàng #%1 - %2""
"RMA Item Details","RMA chi tiết sản phẩm""
"OK","Đồng ý""
"Cancel","Hủy bỏ""
"No","Không""
"Yes","Có""
"Delete Image","Xóa hình""
"View Full Size","Xem kích thước đầy đủ""
"General Information","Thông tin chung""
"Submit Comment","Gửi bình luận""
"Add","Thêm""
"Custom Value","Tuỳ chỉnh các giá trị""
"Print  Label","In nhãn vận chuyển""
"Show Packages","Hiển thị các gói""
"Items","Sản phẩm""
"Return Items","Sản phẩm hoàn trả""
"Product","Sản phẩm""
"SKU","Mã sản phẩm"
"Remaining","Còn lại"
"Requested","Đã yêu cầu"
"Returned","Trở lại"
"Approved","Đã Chấp Nhận"
"Return Reason","Lý do Trả hàng"
"Item Condition","Tình Trạng Sản Phẩm"
"Item Condition:","Tình Trạng Sản Phẩm"
Item Condition,Tình Trạng Sản Phẩm
"Resolution","Độ phân giải""
"Details","Chi tiết""
"Split","Tách""
"Action","Thao tác""
"Return Information","Thông tin Trả lại""
"RMA","RMA""
"Ordered","Đã đặt hàng""
"Customer","Khách hàng""
"View","Xem"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Bạn đã chọn để thay đổi trạng thái các yêu cầu RMA được lựa chọn để đóng. Bạn có chắc bạn muốn tiếp tục không?""
"Return Item Attribute","Trở về thuộc tính sản phẩm""
"Add New Attribute","Thêm thuộc tính""
"Save Attribute","Lưu thuộc tính""
"Delete Attribute","Xóa thuộc tính""
"Edit Return Item Attribute ""%1""","Chỉnh sửa thuộc tính sản phẩm trả lại ""%1""""
"New Return Item Attribute","Thuộc tính sản phẩm được trả lại mới""
"Input Type","Loại đầu vào""
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Điều này sử dụng nội bộ. Hãy chắc chắn bạn không sử dụng dấu cách hoặc nhiều biểu tượng hơn %1.""
"Lines Count","Tuyến tính""
"Valid range 2-20","Phạm vi hợp lệ 2-20""
"Input Validation","Xác nhận đầu vào""
"None","Không cái nào""
"Minimum Text Length","Chiều dài văn bản tối thiểu""
"Maximum Text Length","Chiều dài văn bản tối đa""
"Maximum File Size (bytes)","Kích thước tệp tối đa (byte)""
"File Extensions","Phần mở rộng tệp""
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1.""
"Maximum Image Width (px)","Chiều rộng hình ảnh tối đa (px)""
"Maximum Image Height (px)","Chiều cao hình ảnh tối đa (px)""
"Input/Output Filter","Bộ lọc đầu vào/đầu ra""
"front Properties","Thuộc tính front""
"Show on front","Hiển thị trên front""
"Sort Order","Thứ tự sắp xếp""
"Forms to Use In","Để sử dụng trong các mẫu""
"Properties","Thuộc tính""
"Manage Label / Options","Quản lý nhãn / tùy chọn""
"Attribute Information","Thông tin Thuộc tính""
"Visible to Customer","Hiển thị cho khách hàng""
"Submit Returns","Gửi trả lại""
"Add Products","Thêm sản phẩm""
"Add Selected Product(s) to returns","Thêm lựa chọn sản phẩm để trả lại""
"Product Name","Tên sản phẩm""
"Remaining Qty","Số lượng còn lại""
"Requested Qty","Số lượng được yêu cầu""
"Reason to Return","Lý do để trả lại""
"Delete","Xóa bỏ""
"Add Details","Thêm chi tiết""
"Select","Chọn""
"Price","Giá""
"The wrong RMA was requested.","RMA sai đã được yêu cầu.""
"This is the wrong RMA order ID.","Điều này là sai ID RMA đơn hàng.""
"Invalid RMA","RMA không hợp lệ""
"Please enter a valid message.","Hãy nhập vào một thông báo hợp lệ.""
"We cannot add the RMA history.","Chúng tôi không thể thêm lịch sử RMA.""
"Invalid order","Đơn hàng không hợp lệ""
"We can't retrieve the product list right now.","Chúng tôi không thể truy xuất danh sách sản phẩm ngay bây giờ.""
"Please specify a carrier.","Hãy chỉ ra một tàu sân bay.""
"Please enter a tracking number.","Vui lòng nhập một số theo dõi.""
"We cannot initialize an RMA to add a tracking number.","Chúng tôi không thể khởi tạo một RMA để thêm một số theo dõi.""
"We can't add a message right now.","Chúng tôi không thể thêm một tin nhắn ngay bây giờ.""
"New Return","Hoàn trả mới""
"%1 RMA(s) cannot be closed","%1 RMA(s) không thể đóng""
"We cannot close the RMA request(s).","Chúng tôi không thể đóng yêu cầu RMA.""
"%1 RMA (s) have been closed.","%1 RMA đã bị đóng.""
"You created a shipping label.","Bạn đã tạo ra một nhãn vận chuyển.""
"We can't create a shipping label right now.","Chúng tôi không thể tạo một nhãn vận chuyển ngay bây giờ.""
"Manage RMA Item Attributes","Quản lý thuộc tính RMA sản phẩm""
"You cannot delete this attribute.","Bạn không thể xóa bỏ thuộc tính này.""
"You deleted the RMA attribute.","Bạn đã xoá các thuộc tính RMA.""
"We can't delete the RMA item attribute right now.","Chúng ta không thể xóa bỏ các thuộc tính của khoản mục RMA ngay bây giờ.""
"This attribute no longer exists.","Thuộc tính này không còn tồn tại.""
"You cannot edit this attribute.","Bạn không thể chỉnh sửa các thuộc tính này.""
"Edit Return Item Attribute","Chỉnh sửa thuộc tính sản phẩm hoàn trả""
"Returns Attributes","Thuộc tính hoàn trả""
"New Return Attribute","Thuộc tính hoàn trả mới""
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.""
"You saved the RMA item attribute.","Bạn đã lưu các thuộc tính của sản phẩm RMA.""
"Something went wrong while saving the RMA item attribute.","Một cái gì đó đã đi sai trong khi lưu thuộc tính sản phẩm RMA.""
"An attribute with the same code already exists.","Một thuộc tính với cùng mã đã tồn tại.""
"Please correct the value for file extensions.","Please correct the value for file extensions.""
"The wrong RMA item was requested.","Mục RMA sai đã được yêu cầu.""
"We cannot display the item attributes.","Chúng tôi không thể hiển thị các thuộc tính của sản phẩm.""
"There are no applicable items for return in this order.","Không có sản phẩm nào áp dụng cho trả lại với đơn hàng này.""
"We don't recognize or support the file extension in shipment %1.","Không nhận ra hoặc không hỗ trợ định dạng tệp tin trong lô hàng %1.""
"Something went wrong creating a shipping label.","Một cái gì đó đã đi sai khi tạo ra một nhãn vận chuyển.""
"A quantity you're trying to add exceeds the number of products we shipped.","Số lượng bạn đang cố gắng để thêm vượt quá số lượng sản phẩm chúng tôi có thể giao.""
"Products should be added to package(s)","Sản phẩm nên được thêm vào gói""
"Please enter a valid value.","Vui lòng nhập một giá trị hợp lệ.""
"This is the wrong RMA ID.","Đây này là ID RMA sai.""
"We cannot display the available shipping methods.","Chúng tôi không thể hiển thị các phương pháp vận chuyển có sẵn.""
"We cannot initialize an RMA to delete a tracking number.","Chúng tôi không thể khởi tạo một RMA để xóa một số theo dõi.""
"We can't delete the tracking number right now.","Chúng tôi không thể xóa số theo dõi ngay bây giờ.""
"We can't save this RMA.","Chúng tôi không thể lưu RMA này.""
"You saved the RMA request.","Bạn đã lưu các yêu cầu RMA.""
"You did not email your customer. Please check your email settings.","Bạn đã không gửi email cho khách hàng của bạn. Hãy kiểm tra cài đặt email của bạn.""
"You submitted the RMA request.","Bạn gửi yêu cầu RMA.""
"No items for bundle product","Không khoản mục nào cho gói sản phẩm""
"The wrong order ID or item ID was requested.","Sai thứ tự ID hoặc mã ID được yêu cầu.""
"Page not found.","Không tìm thấy trang.""
" Labels are not allowed.","Nhãn Vận chuyển không được phép.""
"Please select a valid carrier.","Vui lòng chọn một phương tiện vận chuyển hợp lệ.""
"Please enter a valid tracking number.","Vui lòng nhập một số theo dõi hợp lệ.""
"We can't add a label right now.","Chúng tôi không thể thêm một nhãn ngay bây giờ.""
"You selected the wrong RMA.","Bạn đã chọn sai RMA.""
"We can't create a return transaction for order #%1.","Chúng tôi không thể tạo một giao dịch trả lại cho các đơn đặt hàng #%1.""
"Create New Return","Tạo mới hoàn trả""
"We can't delete the label right now.","Chúng tôi không thể xoá nhãn ngay bây giờ.""
"You submitted Return #%1.","Bạn đã nộp Trả Hàng #%1.""
"We can't create a return right now. Please try again later.","Chúng tôi không thể tạo một trả lại ngay bây giờ. Xin vui lòng thử lại sau.""
"Return #%1","Trả Hàng #%1"
Return #%1,Trả Hàng #%1
"Cannot add message.","Không thể thêm tin nhắn.""
"My Returns","Đơn hàng hoàn"
"Tracking Information","Thông tin Theo dõi""
"Page not found","Không tìm thấy trang""
"Please check this order for errors.","Hãy kiểm tra lỗi cho các đơn đặt hàng.""
"  Address","Địa chỉ  liên hệ""
"Text Field","Trường văn bản""
"Text Area","Khu vực văn bản""
"Dropdown","Trình đơn xổ dọc""
"Image File","Tập tin hình ảnh""
"Could not save the RMA comment.","Could not save the RMA comment.""
"Could not delete the RMA comment.","Could not delete the RMA comment.""
"Only one RMA is available for printing","Chỉ có một RMA là có sẵn cho in Ấn""
"Return # ","Trả Hàng # ""
"Return Date: ","Ngày trả lại: ""
"Order # ","Đơn hàng # ""
"Ordered: ","Đặt hàng: ""
" Address:","Địa chỉ giao hàng:""
"Return Address:","Địa chỉ trả lại:""
"Condition","Điều kiện""
"Qty","Số lượng"
"There is an error in quantities for item %1.","Xảy ra lỗi với số lượng cho sản phẩm %1.""
"Authorized Qty","Số lượng được ủy quyền""
"Returned Qty","Số lượng trả lại""
"Approved Qty","Số lượng được chấp thuận""
"%1 for item %2 cannot be empty.","%1 cho sản phẩm %2 không thể để trống.""
"You cannot return %1.","Bạn không thể Trả Hàng %1.""
"A quantity of %1 is greater than you can return.","Số lượng %1 là lớn hơn số bạn có thể trả lại.""
"You entered an invalid type: ""%1"".","Bạn đã nhập vào một kiểu không hợp lệ: ""%1"".""
"You entered an invalid email address: ""%1"".","Bạn đã nhập địa chỉ email không hợp lệ: ""%1"".""
"You entered an invalid hostname: ""%1""","Bạn đã nhập vào một tên máy chủ không hợp lệ: ""%1""""
"""%1"" is longer than allowed.","""%1"" là nhiều thời gian hơn mức cho phép.""
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system.""
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again.""
"We can't save this RMA. No items were specified.","Chúng tôi không thể save RMA này. Không có mục nào được chỉ định.""
"Pending","Đang Chờ"
